[2025-01-26 06:59:39.908507 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.916526 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.923622 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.931501 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.938082 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.944167 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.950667 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.957537 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.965127 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.973878 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.984823 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.996820 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:40.002863 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:40.059898 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:40.080891 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:40.086989 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:40.093053 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:40.098644 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 6
[2025-01-26 06:59:40.664758 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 492
[2025-01-26 06:59:40.665043 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 493
[2025-01-26 06:59:41.036097 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.099879 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.243936 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.379867 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.385933 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:41.492102 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.524238 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.636168 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.642164 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
